book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating
620790.A_Long_Fatal_Love_Chase,620790,A Long Fatal Love Chase,1995,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott,Louisa May Alcott,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', 'Mystery', '...more']","6,547","1,011",3.67
20872148-good-luck,20872148,Good Luck,1896,https://www.goodreads.com/author/show/1551507.L_T_Meade,L.T. Meade,[],7,2,2.86
1887815.The_Vampyre_Ernestus_Berchtold_Or_the_Modern_Oedipus,1887815,"The Vampyre / Ernestus Berchtold; Or, the Modern Oedipus",1993,https://www.goodreads.com/author/show/26932.John_William_Polidori,John William Polidori,"['Gothic', 'Fiction', 'Classics', '19th Century']",43,6,3.14
149789.The_Last_Chronicle_of_Barset,149789,The Last Chronicle of Barset,1867,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', 'Victorian', '19th Century', 'Literature', 'Historical Fiction', 'British Literature', '...more']","5,759",398,4.17
20620795-the-stokesley-secret,20620795,The Stokesley Secret,1861,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,[],15,1,4.27
24874326-lord-arthur-savile-s-crime,24874326,Lord Arthur Savile's Crime,1891,https://www.goodreads.com/author/show/3565.Oscar_Wilde,Oscar Wilde,"['Classics', 'Short Stories', 'Fiction', 'Mystery', '19th Century', 'Crime', 'Humor', '...more']","4,138",457,3.76
168655.McTeague,168655,McTeague,1899,https://www.goodreads.com/author/show/82926.Frank_Norris,Frank Norris,"['Fiction', 'Classics', 'Literature', 'American', '19th Century', 'Novels', 'Historical Fiction', '...more']","6,104",620,3.69
2141817.The_Cranford_Chronicles,2141817,The Cranford Chronicles,1859,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', '19th Century', 'Victorian', '...more']","1,789",122,4.02
32851.The_Blockade_Runners,32851,The Blockade Runners,1865,https://www.goodreads.com/author/show/696805.Jules_Verne,Jules Verne,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'War', 'Science Fiction', 'Historical', '...more']","1,042",88,3.45
721012.The_Legend_of_Sleepy_Hollow_and_Other_Stories,721012,The Legend of Sleepy Hollow and Other Stories,1819,https://www.goodreads.com/author/show/28525.Washington_Irving,Washington Irving,"['Classics', 'Fiction', 'Short Stories', 'Horror', 'Fantasy', 'Gothic', 'Literature', '...more']","55,311","1,101",3.92
9706884-le-v-u-d-une-morte,9706884,Le Vœu d'une morte,2009,https://www.goodreads.com/author/show/4750._mile_Zola,Émile Zola,"['Classics', 'Fiction']",52,8,3.48
2493.The_Time_Machine,2493,The Time Machine,1895,https://www.goodreads.com/author/show/880695.H_G_Wells,H.G. Wells,"['Classics', 'Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Dystopia', 'Literature', '...more']","486,520","14,485",3.9
467111.The_Hand_of_Ethelberta,467111,The Hand of Ethelberta,1876,https://www.goodreads.com/author/show/15905.Thomas_Hardy,Thomas Hardy,"['Classics', 'Fiction', 'Victorian', '19th Century', 'Literature', 'Romance', 'Classic Literature', '...more']","3,521",120,3.64
6056360-umrao-jan-ada,6056360,Umrao Jan Ada / امراؤ جان ادا,1899,https://www.goodreads.com/author/show/93611.Mirza_Mohammad_Hadi_Ruswa,Mirza Mohammad Hadi Ruswa,"['Fiction', 'India', 'Classics', 'Historical Fiction', 'Indian Literature', 'Novels', 'Womens', '...more']","1,027",95,3.89
19278453-the-long-vacation,19278453,The Long Vacation,1895,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,['Classics'],7,2,3.43
44647940-new-faces-and-old,44647940,New Faces and Old: Short Stories,1896,https://www.goodreads.com/author/show/898068.Francis_J_Finn,Francis J. Finn,[],1,0,4.0
13753164-the-female-detective,13753164,The Female Detective,1864,https://www.goodreads.com/author/show/525907.Andrew_Forrester,Andrew Forrester,"['Mystery', 'Fiction', 'Crime', 'Victorian', 'Short Stories', 'Classics', '19th Century', '...more']",339,70,3.01
875623.Jerusalem_Delivered,875623,Jerusalem Delivered,1581,https://www.goodreads.com/author/show/60907.Torquato_Tasso,Torquato Tasso,"['Poetry', 'Classics', 'Italian Literature', 'Fiction', 'Italy', 'Epic', 'Literature', '...more']","1,413",89,3.93
1021455.An_Old_Man_s_Love,1021455,An Old Man's Love,1884,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', 'Victorian', 'British Literature', '19th Century', 'Audiobook', 'Romance', '...more']",454,75,3.31
128837.Elective_Affinities,128837,Elective Affinities,1809,https://www.goodreads.com/author/show/285217.Johann_Wolfgang_von_Goethe,Johann Wolfgang von Goethe,"['Classics', 'Fiction', 'German Literature', 'Literature', 'Germany', '19th Century', 'Novels', '...more']","10,356",564,3.71
11026.Barnaby_Rudge,11026,Barnaby Rudge,1841,https://www.goodreads.com/author/show/239579.Charles_Dickens,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature', '...more']","10,275",720,3.81
57035651-the-matchmaker-s-lonely-heart,57035651,The Matchmaker's Lonely Heart,2021,https://www.goodreads.com/author/show/159659.Nancy_Campbell_Allen,Nancy Campbell Allen,"['Romance', 'Mystery', 'Historical Fiction', 'Historical Romance', 'Historical', 'Victorian', 'Fiction', '...more']","1,802",490,4.04
