,id,title,author
215,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Jonathan Strange & Mr Norrell,Susanna Clarke
216,https://www.goodreads.com/book/show/34053.Just_So_Stories,Just So Stories,Rudyard Kipling
217,https://www.goodreads.com/book/show/400885.Sketches_by_Boz,Sketches by Boz,Charles Dickens
218,https://www.goodreads.com/book/show/32559.The_Fall_of_the_House_of_Usher_and_Other_Tales,The Fall of the House of Usher and Other Tales,Edgar Allan Poe
219,https://www.goodreads.com/book/show/888.The_Last_Days_of_Pompeii,The Last Days of Pompeii,Edward Bulwer-Lytton
220,https://www.goodreads.com/book/show/835508.Romola,Romola,George Eliot
221,https://www.goodreads.com/book/show/16138688-the-painted-girls,The Painted Girls,Cathy Marie Buchanan
222,https://www.goodreads.com/book/show/1147633.Tom_Brown_s_Schooldays,Tom Brown's Schooldays,Thomas Hughes
223,https://www.goodreads.com/book/show/14706.Faust_First_Part,"Faust, First Part",Johann Wolfgang von Goethe
224,https://www.goodreads.com/book/show/246245.The_Deerslayer,"The Deerslayer (The Leatherstocking Tales, #1)",James Fenimore Cooper
225,https://www.goodreads.com/book/show/442296.Effi_Briest,Effi Briest,Theodor Fontane
226,https://www.goodreads.com/book/show/5338.A_Christmas_Carol_and_Other_Christmas_Writings,A Christmas Carol and Other Christmas Writings,Charles Dickens
227,https://www.goodreads.com/book/show/723155.The_Wood_Beyond_the_World,The Wood Beyond the World,William Morris
228,https://www.goodreads.com/book/show/5984208-maldoror-and-poems,Maldoror and Poems,Comte de Lautréamont
229,https://www.goodreads.com/book/show/17728.The_House_of_Mirth,The House of Mirth,Edith Wharton
230,https://www.goodreads.com/book/show/297851.Desperate_Remedies,Desperate Remedies,Thomas Hardy
231,https://www.goodreads.com/book/show/139888.Barry_Lyndon,Barry Lyndon,William Makepeace Thackeray
232,https://www.goodreads.com/book/show/28413.The_Ladies_Paradise,The Ladies' Paradise,Émile Zola
233,https://www.goodreads.com/book/show/311367.The_Princess_Casamassima,The Princess Casamassima,Henry James
234,https://www.goodreads.com/book/show/62111.The_Swiss_Family_Robinson,The Swiss Family Robinson,Johann David Wyss
235,https://www.goodreads.com/book/show/208977.Maggie,Maggie: A Girl of the Streets,Stephen Crane
