,book_id_title,book_id,book_title,year_first_published,authorlink,author,genres,num_ratings,num_reviews,average_rating,flag
370,383206.Wives_and_Daughters,383206,Wives and Daughters,1866.0,https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Victorian', '19th Century', 'Literature', '...more']","46,746","2,902",4.11,True
371,539025.Waverley,539025,Waverley,1814.0,https://www.goodreads.com/author/show/4345.Walter_Scott,Walter Scott,"['Classics', 'Historical Fiction', 'Fiction', 'Scotland', '19th Century', 'Literature', 'Historical', '...more']","5,373",373,3.43,True
372,221597.Salammb_,221597,Salammbô,1862.0,https://www.goodreads.com/author/show/1461.Gustave_Flaubert,Gustave Flaubert,"['Classics', 'Fiction', 'France', 'Historical Fiction', 'French Literature', 'Literature', '19th Century', '...more']","5,232",378,3.73,True
373,679367.Pepita_Jim_nez,679367,Pepita Jiménez,1874.0,https://www.goodreads.com/author/show/36098.Juan_Valera,Juan Valera,"['Classics', 'Spanish Literature', 'Fiction', 'Spain', '19th Century', 'Romance', 'Literature', '...more']","2,019",132,3.5,True
378,15829001-do-a-berta-adi-s-cordera,15829001,Doña Berta / ¡Adiós Cordera!,1892.0,https://www.goodreads.com/author/show/5780534.Leopoldo_Alas,Leopoldo Alas,[],7,0,4.14,True
380,1885.Pride_and_Prejudice,1885,Pride and Prejudice,1813.0,https://www.goodreads.com/author/show/1265.Jane_Austen,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', '...more']","3,883,885","97,486",4.28,True
381,1330086.Aus_dem_Leben_eines_Taugenichts,1330086,Aus dem Leben eines Taugenichts,1826.0,https://www.goodreads.com/author/show/533810.Joseph_von_Eichendorff,Joseph von Eichendorff,"['Classics', 'German Literature', 'Fiction', 'School', 'Germany', '19th Century', 'Romanticism', '...more']","5,117",201,3.33,True
383,297851.Desperate_Remedies,297851,Desperate Remedies,1998.0,https://www.goodreads.com/author/show/15905.Thomas_Hardy,Thomas Hardy,"['Classics', 'Fiction', 'Victorian', '19th Century', 'Romance', 'British Literature', 'Novels', '...more']","3,160",252,3.78,True
384,27512913-passages-in-the-life-of-mrs-margaret-maitland-of-sunnyside,27512913,Passages in the Life of Mrs. Margaret Maitland of Sunnyside,1849.0,https://www.goodreads.com/author/show/14266369.Mrs_Oliphant,Mrs. Oliphant,[],6,2,3.17,True
385,264.The_Portrait_of_a_Lady,264,The Portrait of a Lady,1881.0,https://www.goodreads.com/author/show/159.Henry_James,Henry James,"['Classics', 'Fiction', 'Literature', '19th Century', 'Novels', 'Historical Fiction', 'Romance', '...more']","77,615","3,473",3.79,True
386,2748141-confidence,2748141,Confidence,1879.0,https://www.goodreads.com/author/show/159.Henry_James,Henry James,"['Classics', 'Fiction', '19th Century', 'American', 'Literature', 'Literary Fiction']",208,36,3.58,True
389,17877.The_House_of_the_Dead,17877,The House of the Dead,1861.0,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russian Literature', 'Russia', 'Literature', 'Novels', '19th Century', '...more']","25,773","1,940",4.06,True
392,1471235.Pelham_or_Adventures_of_a_Gentleman,1471235,Pelham or Adventures of a Gentleman,1828.0,https://www.goodreads.com/author/show/44512.Edward_Bulwer_Lytton,Edward Bulwer-Lytton,"['Fiction', 'Classics', 'English Literature', 'British Literature', 'Classic Literature', '19th Century', 'Literature']",65,9,3.48,True
393,267104.He_Knew_He_Was_Right,267104,He Knew He Was Right,1869.0,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', 'Victorian', '19th Century', 'Literature', 'Historical Fiction', 'British Literature', '...more']","5,864",206,3.87,True
396,526187.The_Prime_Minister,526187,The Prime Minister,1876.0,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Historical Fiction', 'British Literature', '...more']","2,801",253,4.08,True
399,84730.Beat_to_Quarters,84730,Beat to Quarters,1937.0,https://www.goodreads.com/author/show/932179.C_S_Forester,C.S. Forester,"['Historical Fiction', 'Fiction', 'Adventure', 'Historical', 'Classics', 'War', 'Military Fiction', '...more']","10,878",447,4.28,True
402,4546316-henrietta-s-wish,4546316,Henrietta's Wish,1850.0,https://www.goodreads.com/author/show/176982.Charlotte_Mary_Yonge,Charlotte Mary Yonge,[],8,1,2.88,True
403,4572035-le-capitaine-paul,4572035,Le Capitaine Paul,1838.0,https://www.goodreads.com/author/show/4785.Alexandre_Dumas,Alexandre Dumas,"['Classics', 'France', 'Fiction']",73,10,3.48,True
406,374352.Phineas_Finn,374352,Phineas Finn,1869.0,https://www.goodreads.com/author/show/20524.Anthony_Trollope,Anthony Trollope,"['Classics', 'Fiction', 'Victorian', 'Literature', '19th Century', 'British Literature', 'Historical Fiction', '...more']","6,878",426,3.98,True
407,329957.The_Mystery_of_Edwin_Drood,329957,The Mystery of Edwin Drood,1870.0,https://www.goodreads.com/author/show/239579.Charles_Dickens,Charles Dickens,"['Classics', 'Fiction', 'Mystery', '19th Century', 'Literature', 'Victorian', 'Gothic', '...more']","11,768",941,3.67,True
408,54539.Silas_Marner,54539,Silas Marner,1861.0,https://www.goodreads.com/author/show/173.George_Eliot,George Eliot,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', '19th Century', 'British Literature', 'Victorian', '...more']","82,586","4,462",3.67,True
409,11422.Redeeming_Love,11422,Redeeming Love,1991.0,https://www.goodreads.com/author/show/6492.Francine_Rivers,Francine Rivers,"['Christian Fiction', 'Christian', 'Romance', 'Fiction', 'Historical Fiction', 'Historical', 'Historical Romance', '...more']","287,311","16,499",4.5,True
410,888.The_Last_Days_of_Pompeii,888,The Last Days of Pompeii,1834.0,https://www.goodreads.com/author/show/44512.Edward_Bulwer_Lytton,Edward Bulwer-Lytton,"['Historical Fiction', 'Classics', 'Fiction', 'Historical', 'Literature', 'Novels', '19th Century', '...more']","2,199",201,3.57,True
412,180617.Pinocchio,180617,Pinocchio,1883.0,https://www.goodreads.com/author/show/15123.Carlo_Collodi,Carlo Collodi,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'Italian Literature', 'Italy', 'Adventure', '...more']","76,371","3,203",3.85,True
413,8909.The_War_of_the_Worlds,8909,The War of the Worlds,1897.0,https://www.goodreads.com/author/show/880695.H_G_Wells,H.G. Wells,"['Classics', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Science Fiction Fantasy', 'Literature', '...more']","291,434","10,732",3.83,True
